title,people
Superman Returns,"Brandon Routh, Bryan Singer, David Fabrizio, Eva Marie Saint, Frank Langella, Ian Roberts, Jack Larson, James Marsden, John Ottman, Jordana Beatty, Kal Penn, Kate Bosworth, Keegan Joyce, Kevin Spacey, Marlon Brando, Newton Thomas Sigel, Noel Neill, Parker Posey, Sam Huntington, Tristan Lake Leabu, Vincent Stone"
Quantum of Solace,"Aaron King, Alexandra Prusa, Alexandre Krawetz, Anatole Taubman, Brandon Jovanovich, Brendan O'Hea, Daniel Craig, David Decio, David Harbour, Fernando Guillén Cuervo, Gemma Arterton, Giancarlo Giannini, Glenn Foster, Gustavo Nanez, Jeffrey Wright, Jesper Christensen, Jesús Ochoa, Joaquín Cosio, Judi Dench, Lucrezia Lante della Rovere, Marc Forster, Mark Wakeling, Mathieu Amalric, Neil Jackson, Olga Kurylenko, Oona Chaplin, Paul Ritter, Rachel McDowall, Roberto Schaefer, Rory Kinnear, Sarah Hadland, Simon Kassianides, Stana Katic, Tim Pigott-Smith"
Pirates of the Caribbean: Dead Man's Chest,"Alex Norton, Andy Beckwith, Bill Nighy, Christopher Adamson, Christopher S. Capp, Clive Ashborn, Dariusz Wolski, David Bailie, David Schofield, Dermot Keaney, Geoffrey Rush, Gore Verbinski, Hans Zimmer, Ho-Kwan Tse, Jack Davenport, John Boswall, Johnny Depp, Jonathan Kite, Jonathan Linsley, Jonathan Pryce, Keira Knightley, Kevin McNally, Lauren Maher, Lee Arenberg, Luke de Woolfson, Mackenzie Crook, Martin Klebba, Max Baker, Naomie Harris, Orlando Bloom, Peter Donald Badalamenti II, Reggie Lee, Stellan Skarsgård, Steve Speirs, Tom Hollander, Vanessa Branch"
The Lone Ranger,"Adam Hoskins, Alex Knight, Argos MacCallum, Armie Hammer, Barry Pepper, Beth Bailey, Bob Rumnock, Bojan Bazelli, Brad Greenquist, Briana Van Schuyver, Bryant Prince, Chad Brummett, Chad Randall, Charlotte Cormier, Christopher Hagen, Damon Carney, Damon Herriman, Desirae Anslover, Devon J. Adams, Freda Foh Shen, Gil Birmingham, Gore Verbinski, Hans Zimmer, Harry Treadaway, Helena Bonham Carter, JD Cullum, Jack Axelrod, James Badge Dale, James Frain, Jason E. Hill, Joanne Camp, Joaquín Cosio, Joey Glynn, Johnny Depp, Julie Stracener, Kevin Wiggins, Laina Loucks, Leon Rippy, Leonard Earl Howze, Lew Temple, Luz P. Mendez, Margaret Bowman, Mason Cook, Matt O'Leary, Matthew Page, Megan Pribyl, Nick W. Nicholson, Pokey Lafarge, Rance Howard, Randy Oglesby, Robert Baker, Ruth Wilson, Ryan Koenig, Saginaw Grant, Stephen Brodie, Stephen Root, Steve Corona, Tait Fletcher, Timothy V. Murphy, Tom Wilkinson, Travis Hammer, W. Earl Brown, William Fichtner"
Man of Steel,"Alessandro Juliani, Amir Mokri, Amy Adams, Antje Traue, Ayelet Zurer, Brad Kelly, Carla Gugino, Christina Wren, Christopher Meloni, David Lewis, Diane Lane, Doug Abrahams, Dylan Sprayberry, Hans Zimmer, Harry Lennix, Henry Cavill, Jack Foley, Jacqueline Scislowski, Jadin Gould, Julian Richings, Kevin Costner, Laurence Fishburne, Mackenzie Gray, Mary Black, Michael Kelly, Michael Shannon, Raj Lal, Rebecca Buller, Richard Cetrone, Richard Schiff, Robert Gerdisch, Russell Crowe, Samantha Jo, Sean Campbell, Tahmoh Penikett, Zack Snyder"
The Chronicles of Narnia: Prince Caspian,"Alicia Borrachero, Andrew Adamson, Anna Popplewell, Ben Barnes, Brad Shield, Cornell John, Damián Alcázar, Eddie Izzard, Frank Walsh, Georgie Henley, Harry Gregson-Williams, Jakub Dvorak, Karl Walter Lindenlaub, Ken Stott, Klára Issová, Liam Neeson, Milan Chadima, Peter Dinklage, Pierfrancesco Favino, Predrag Bjelac, Sergio Castellitto, Shane Rangi, Simón Andreu, Skandar Keynes, Tilda Swinton, Vincent Grass, Warwick Davis, William Moseley"
The Avengers,"Aaron McBride, Alan Silvestri, Alex DeCourville, Alex Jaeger, Alexander Christopher Jones, Alexander Daniel Pimentel, Alexis Denisof, Alicia Sixtos, Alonda Shevette, Andrea Vecchio, Andrea-Nichole Olivas, Andrew Knode, Annette Lawless, Arthur Darbinyan, Ashley Johnson, Brent McGee, Brent Reichert, Caleb Daniel Noal, Caleb Pieplow, Carmen Dee Harris, Catherine Anderson, Chris Evans, Chris Hemsworth, Chris Vaina, Christina Shaffer, Clark Gregg, Cobie Smulders, Colin Strause, Damion Poitier, Debbie Scaletta, Demoine Kinney, Dieter Riesle, Donald Li, Douglas Slygh, Enver Gjokaj, Eric Frank, Fernanda Toker, Frank Powers, Gene N. Chavez, George Thomas, Gina Sarno, Gwyneth Paltrow, Harry Dean Stanton, Holly Neelie, Israel Hall, Jaime Powers, James Eckhouse, Jamie McShane, Jason Botsford, Jeff Seich, Jeff Wolfe, Jeffrey Feingold, Jenny Agutter, Jeremy Orr, Jeremy Renner, Jerry Lee Tucker, Jerzy Skolimowski, Jesse Garcia, Jillian Morgese, Jorge Mardel, Joseph O'Brien, Josh Cowdery, Joss Whedon, Joti Nagra, Katsumi Komatsu, Kelley Robins, Kelly Ruble, Kenneth Tigar, Kimberly J. Mahoney, Kirill Nikiforov, Layla Cushman, Logan Bennett, Lou Ferrigno, M'laah Kaur Singh, Maria Perossa, Mark Ruffalo, Martin Palmer, Mary Kate Campbell, Maximiliano Hernández, Mayank Bhatter, Michael McMillan, Michael Zhang, Mike Karban, Momoko Komatsu, Nate Paige, Nick S. Cross, Pat Kiernan, Paul Bettany, Powers Boothe, Rashmi Rustagi, Ricardo Andres, Richard L. Johnson, Rick Dremann, Robert B. Schneider IV, Robert Clohessy, Robert Dean, Robert Downey Jr., Robert P. Thitoff, Robin Swoboda, Rod Fielder, Romy Rosemont, Samuel L. Jackson, Sandra Weston, Scarlett Johansson, Seamus McGarvey, Sean Meehan, Seth Zielicke, Shane Thompson, Sharita Bone, Stan Lee, Stellan Skarsgård, Stephen Morahan, Tai Urban, Thomas Roberts, Tiffany Sander McKenzie, Tina Benko, Tina Grimm, Todd Manes, Tom Hiddleston, Tom Meade, Walter Perez, Warren Kole, William-Christopher Stephens, Yumiko Komatsu"
Pirates of the Caribbean: On Stranger Tides,"Alan J. Utley-Moore, Anton Lesser, Astrid Bergès-Frisbey, Bronson Webb, Christopher Fairbank, Damian O'Hare, Danny Le Boyer, Dariusz Wolski, Deobia Oparei, Derek Mears, Emilia Jones, Gemma Ward, Geoffrey Rush, Greg Ellis, Hans Zimmer, Ian McShane, Ian Mercer, Johnny Depp, Judi Dench, Keith Richards, Kevin McNally, LeJon, Luke Roberts, Paul Bazely, Penélope Cruz, Richard Griffiths, Richard Thomson, Rob Marshall, Robbie Kay, Roger Allam, Sam Claflin, Sanya Hughes, Sebastian Armesto, Siegfried Peters, Stephen Graham, Steve Evets, Yuki Matsuzaki, Óscar Jaenada"
Men in Black 3,"Alice Eve, Barry Sonnenfeld, Bill Hader, Bill Pope, Cayen Martin, Dan Bittner, Danny Elfman, David Rasche, Emma Thompson, Jemaine Clement, Josh Brolin, Kelvin Davis, Keone Young, Lowell Cunningham, Maya Shimoguchi, Mela Hudson, Michael Chernus, Michael Stuhlbarg, Mike Colter, Nicole Scherzinger, Tommy Lee Jones, W. Steven Graham, Will Arnett, Will Smith"
The Hobbit: The Battle of the Five Armies,"Adam Brown, Aidan Turner, Allan Smith, Andrew Lesnie, Benedict Cumberbatch, Billy Connolly, Cate Blanchett, Christopher Lee, Conan Stevens, Dean O'Gorman, Derrick Auyoung, Evangeline Lilly, Fran Walsh, Graham McTavish, Guillermo del Toro, Howard Shore, Hugo Weaving, Ian Holm, Ian McKellen, Jade Mansueto, James Nesbitt, Jed Brophy, John Bell, John Callen, John Tui, Joshua Barraud, Keith Lackey, Kelly Kilgour, Ken Stott, Lee Pace, Leon Woud, Luke Evans, Manu Bennett, Mark Hadlow, Martin Freeman, Mary Nesbitt, Michael Smale, Mikael Persbrandt, Miranda Harcourt, Nick Blake, Orlando Bloom, Peggy Nesbitt, Peter Hambleton, Peter Jackson, Philippa Boyens, Richard Armitage, Ryan Gage, Sarah Peirse, Shaun Friedberg, Simon Bright, Simon London, Stephen Fry, Stephen Hunter, Sylvester McCoy, Thomasin McKenzie, Tom Meade, William Kircher"
The Amazing Spider-Man,"Alexander Bedria, Amanda MacDonald, Amber Stevens, Amy Novondo, Andrew Garfield, Andy Gladbach, Andy Pessoa, Barbara Eve Harris, C. Thomas Howell, Campbell Scott, Charlie DePew, Chris Zylka, Damien Lemon, Danielle Burgio, David F. Klassen, Denis Leary, Embeth Davidtz, Emma Stone, Eric Hugunin, Ethan Cohn, Hannah Marks, Irrfan Khan, Jacob Rodier, Jake Keiffer, James Chen, James Horner, Jay Caputo, Jennifer Lyons, Jill Flint, Jody Cosgrove-Kao, John Burke, John Schwartzman, Kari Coleman, Keith Campbell, Kelsey Asbille, Kevin McCorkle, Kristin Quick, Leif Gantvoort, Marc Webb, Mark Daugherty, Martin Sheen, Maury Morgan, Max Bogner, Max Charles, Michael Barra, Michael Massee, Michael Papajohn, Miguel López-Castillo, Miles Elliot, Milton González, Miranda LaDawn Hill, Paul Sonski, Rhys Ifans, Ring Hendricks-Tellefsen, Sally Field, Skyler Gisondo, Stan Lee, Steve DeCastro, Terry Bozeman, Tia Texada, Tom Waite, Ty Upshaw, Vincent Laresca, Zoey Deutch"
Robin Hood,"Alan Doyle, Arthur Darvill, Bronson Webb, Cate Blanchett, Ciaran Flynn, Danny Huston, Denis Ménochet, Denise Gough, Douglas Hodge, Eileen Atkins, Gerard McSorley, Giannina Facio, Jake Curran, Jessica Raine, John Mathieson, John Nicholas, Jonathan Zaccaï, Kevin Durand, Luke Evans, Léa Seydoux, Marc Streitenfeld, Mark Addy, Mark Lewis Jones, Mark Strong, Matthew Macfadyen, Max von Sydow, Oscar Isaac, Ralph Ineson, Ridley Scott, Robert Pugh, Roy Holder, Ruby Bentall, Russell Crowe, Scott Grimes, Simon McBurney, Velibor Topic, William Hurt"
The Hobbit: The Desolation of Smaug,"Adam Brown, Aidan Turner, Andrew Lesnie, Ben Mitchell, Benedict Cumberbatch, Carolynne Cunningham, Cate Blanchett, Dean O'Gorman, Evangeline Lilly, Graham McTavish, Howard Shore, Ian McKellen, James Nesbitt, Jed Brophy, John Bell, John Callen, Ken Stott, Lee Pace, Luke Evans, Manu Bennett, Mark Hadlow, Martin Freeman, Mary Nesbitt, Mikael Persbrandt, Orlando Bloom, Peggy Nesbitt, Peter Hambleton, Peter Jackson, Richard Armitage, Sarah Peirse, Simon Bright, Stephen Colbert, Stephen Fry, Stephen Hunter, Sylvester McCoy, Terry Notary, William Kircher"
The Golden Compass,"Alexandre Desplat, Ben Walker, Brian Nickels, Charlie Rowe, Chris Weitz, Christopher Lee, Clare Higgins, Dakota Blue Richards, Daniel Craig, Derek Jacobi, Eva Green, Freddie Highmore, Hattie Morahan, Helen Soraya, Henry Braham, Ian McKellen, Ian McShane, Jack Shepherd, Jason Watkins, Jim Carter, Kathy Bates, Kristin Scott Thomas, Magda Szubanski, Mark Mottram, Michael Antoniou, Nicole Kidman, Sam Elliott, Sam Hoare, Simon McBurney, Steven Loton, Thomas Arnold, Tom Courtenay"
King Kong,"Adrien Brody, Andrew Lesnie, Andy Serkis, Chic Littlewood, Colin Hanks, Craig Hall, Crawford Thomson, Dan Hennah, David Dennis, David Long, David Pittu, Evan Parke, Frank Edwards, Geraldine Brophy, Jack Black, James Newton Howard, Jamie Bell, Jed Brophy, Jim Knobeloch, Joe Folau, John Sumner, John Wraight, Kyle Chandler, Lee Donahue, Lobo Chan, Mark Hadlow, Mel Wesson, Naomi Watts, Peter Jackson, Pip Mushin, Ric Herbert, Richard Kavanagh, Samuel Taylor, Stephen Hall, Thomas Kretschmann, Tiriel Mora, Tom Hobbs, William Johnson, William Wallace"
